iter	Passed	Remaining
1055	12697	107539
1056	12709	107529
1057	12719	107506
1058	12730	107483
1059	12742	107468
1060	12751	107429
1061	12766	107441
1062	12801	107626
1063	12815	107632
1064	12831	107649
1065	12844	107644
1066	12855	107623
1067	12863	107584
1068	12874	107556
1069	12882	107515
1070	12892	107485
1071	12902	107456
1072	12912	107423
1073	12922	107396
1074	12931	107359
1075	12941	107331
1076	12951	107304
1077	12961	107276
1078	12972	107254
1079	12984	107241
1080	12993	107207
1081	13004	107182
1082	13012	107141
1083	13023	107119
1084	13034	107095
1085	13042	107055
1086	13052	107028
1087	13061	106987
1088	13071	106957
1089	13080	106920
1090	13089	106886
1091	13099	106860
1092	13108	106819
1093	13118	106796
1094	13127	106761
1095	13138	106741
1096	13149	106715
1097	13159	106692
1098	13171	106679
1099	13184	106675
1100	13196	106658
1101	13206	106631
1102	13216	106604
1103	13225	106573
1104	13251	106668
1105	13274	106744
1106	13295	106810
1107	13319	106889
1108	13335	106908
1109	13347	106902
1110	13357	106870
1111	13367	106843
1112	13378	106822
1113	13389	106805
1114	13401	106792
1115	13414	106786
1116	13424	106759
1117	13434	106732
1118	13445	106714
1119	13456	106687
1120	13466	106662
1121	13477	106640
1122	13486	106607
1123	13497	106585
1124	13508	106565
1125	13517	106533
1126	13529	106515
1127	13538	106484
1128	13550	106469
1129	13561	106450
1130	13580	106495
1131	13591	106475
1132	13601	106449
1133	13613	106438
1134	13626	106432
1135	13636	106404
1136	13650	106403
1137	13667	106430
1138	13678	106410
1139	13688	106389
1140	13698	106361
1141	13711	106351
1142	13722	106338
1143	13732	106304
1144	13744	106293
1145	13765	106352
1146	13787	106417
1147	13798	106396
1148	13811	106394
1149	13824	106384
1150	13837	106387
1151	13849	106368
1152	13862	106366
1153	13874	106353
1154	13885	106336
1155	13896	106311
1156	13908	106299
1157	13919	106282
1158	13928	106251
1159	13940	106233
1160	13951	106216
1161	13963	106200
1162	13974	106183
1163	13985	106165
1164	13995	106138
1165	14006	106117
1166	14019	106111
1167	14032	106108
1168	14044	106097
1169	14055	106078
1170	14067	106064
1171	14077	106040
1172	14088	106020
1173	14099	105999
1174	14109	105967
1175	14119	105945
1176	14130	105922
1177	14140	105894
1178	14155	105908
1179	14168	105900
1180	14180	105894
1181	14191	105869
1182	14201	105848
1183	14222	105897
1184	14233	105884
1185	14246	105877
1186	14257	105854
1187	14269	105844
1188	14281	105829
1189	14290	105799
1190	14309	105839
1191	14320	105815
1192	14331	105797
1193	14340	105766
1194	14351	105748
1195	14362	105726
1196	14371	105694
1197	14384	105684
1198	14395	105667
1199	14404	105636
1200	14416	105620
1201	14427	105603
1202	14438	105582
1203	14452	105583
1204	14465	105583
1205	14477	105568
1206	14486	105537
1207	14497	105515
1208	14508	105494
1209	14517	105462
1210	14529	105446
1211	14539	105423
1212	14549	105396
1213	14559	105373
1214	14582	105438
1215	14595	105433
1216	14606	105415
1217	14616	105387
1218	14627	105369
1219	14638	105350
1220	14647	105314
1221	14659	105304
1222	14672	105295
1223	14682	105275
1224	14693	105254
1225	14703	105229
1226	14712	105194
1227	14722	105169
1228	14731	105133
1229	14741	105110
1230	14757	105121
1231	14772	105136
1232	14785	105130
1233	14794	105097
1234	14804	105070
1235	14813	105037
1236	14824	105020
1237	14836	105008
1238	14846	104978
1239	14858	104968
1240	14871	104960
1241	14881	104937
1242	14892	104918
1243	14903	104896
1244	14912	104863
1245	14922	104840
1246	14932	104815
